dish_name,calories_(kcal),carbohydrates_(g),protein_(g),fats_(g),free_sugar_(g),fibre_(g),sodium_(mg),calcium_(mg),iron_(mg),vitamin_c_(mg),folate_(µg),calories_(kcal)_per_100g,carbohydrates_(g)_per_100g,protein_(g)_per_100g,fats_(g)_per_100g,free_sugar_(g)_per_100g,fibre_(g)_per_100g,sodium_(mg)_per_100g,calcium_(mg)_per_100g,iron_(mg)_per_100g,vitamin_c_(mg)_per_100g,folate_(µg)_per_100g,meal_category,veg_nonveg,region,dietary_restrictions,is_vegan,is_gluten_free,is_dairy_free,is_nut_free,is_diabetic_friendly,is_keto_friendly,is_jain_friendly,is_low_calorie,is_high_protein,is_low_sodium,carb_category
Paaner do pyaza,127.7,3.41,4.22,10.87,2.2,0.84,160.66,57.22,0.45,16.81,35.64,127.7,3.41,4.22,10.87,2.2,0.84,160.66,57.22,0.45,16.81,35.64,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,1,1,0,0,1,1,0,1,Very Low
Cabbage manchurian (Pattagobhi manchurian),224.26,4.85,0.64,22.48,0.33,0.37,75.02,3.18,0.2,28.39,30.24,224.26,4.85,0.64,22.48,0.33,0.37,75.02,3.18,0.2,28.39,30.24,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,0,0,1,Very Low
Gobi 65,278.29,3.59,0.56,29.11,0.29,0.57,69.22,12.37,0.3,27.52,37.66,278.29,3.59,0.56,29.11,0.29,0.57,69.22,12.37,0.3,27.52,37.66,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,0,0,1,Very Low
Paneer lababdar,105.48,3.37,3.98,8.46,1.96,1.16,142.45,55.56,0.56,27.48,56.6,105.48,3.37,3.98,8.46,1.96,1.16,142.45,55.56,0.56,27.48,56.6,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sugar; Low-Sodium,0,1,0,1,0,0,1,1,0,1,Very Low
Sauteed radishes with green beans,94.32,6.04,2.41,6.61,1.78,3.52,65.1,40.2,1.01,6.55,45.89,94.32,6.04,2.41,6.61,1.78,3.52,65.1,40.2,1.01,6.55,45.89,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,0,1,0,1,Very Low
Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.94,13.52,2.97,8.38,6.8,4.6,256.89,28.5,1.19,2.83,17.03,143.94,13.52,2.97,8.38,6.8,4.6,256.89,28.5,1.19,2.83,17.03,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; Low-Calorie; Low-Protein,1,1,1,1,0,0,0,1,0,1,Low
Dates chutney (Khajoor ki chutney),103.57,21.69,1.07,1.12,18.68,3.41,76.77,28.72,1.19,3.41,17.27,103.57,21.69,1.07,1.12,18.68,3.41,76.77,28.72,1.19,3.41,17.27,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; High-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Low
Macaroni salad,262.19,21.63,5.02,17.78,3.73,0.56,163.99,35.7,0.77,22.15,34.69,262.19,21.63,5.02,17.78,3.73,0.56,163.99,35.7,0.77,22.15,34.69,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sodium,1,1,1,1,1,0,1,0,0,1,Low
Cabbage raita (Pattagobhi raita),84.84,5.25,3.24,5.76,4.21,0.93,125.31,118.49,0.19,28.29,53.73,84.84,5.25,3.24,5.76,4.21,0.93,125.31,118.49,0.19,28.29,53.73,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,0,1,0,0,1,1,0,1,Very Low
Pomegranate raita (Anaar ka raita),72.64,7.15,4.05,3.24,7.01,0.6,195.18,138.31,0.25,4.6,23.86,72.64,7.15,4.05,3.24,7.01,0.6,195.18,138.31,0.25,4.6,23.86,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,0,1,0,0,1,1,0,1,Very Low
Onion raita (Pyaaz ka raita),71.56,7.86,4.86,2.43,7.07,0.65,189.96,163.8,0.3,8.44,32.13,71.56,7.86,4.86,2.43,7.07,0.65,189.96,163.8,0.3,8.44,32.13,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,0,1,0,0,0,1,0,1,Very Low
Kale salad,177.71,5.01,4.86,15.33,3.31,1.36,292.04,109.11,1.3,30.49,35.39,177.71,5.01,4.86,15.33,3.31,1.36,292.04,109.11,1.3,30.49,35.39,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan,1,1,1,1,1,0,1,0,0,1,Very Low
Chicken and cheese souffle,182.35,3.47,9.07,14.74,2.46,0.26,120.93,61.71,0.63,2.4,28.77,182.35,3.47,9.07,14.74,2.46,0.26,120.93,61.71,0.63,2.4,28.77,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Keto-Friendly; Low-Sodium,0,1,0,1,0,1,1,0,0,1,Very Low
Tamarind chutney (Chintapandu pachadi/Puli chutney),109.15,25.07,0.88,0.48,22.85,1.65,75.61,40.3,1.95,0.03,0.18,109.15,25.07,0.88,0.48,22.85,1.65,75.61,40.3,1.95,0.03,0.18,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; High-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Low
Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.16,22.41,2.72,10.1,1.03,1.82,100.26,15.13,0.86,13.41,34.18,187.16,22.41,2.72,10.1,1.03,1.82,100.26,15.13,0.86,13.41,34.18,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,0,0,1,Low
Vegetable namkeen jave,112.23,18.98,2.93,2.51,1.04,2.86,32.13,10.32,1.07,12.45,26.26,112.23,18.98,2.93,2.51,1.04,2.86,32.13,10.32,1.07,12.45,26.26,Snack,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; High-Sodium; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Low
Rice puttu (Ari puttu),81.98,11.82,1.26,3.13,0.33,0.76,48.28,4.96,0.42,0.0,4.85,81.98,11.82,1.26,3.13,0.33,0.76,48.28,4.96,0.42,0.0,4.85,Breakfast,Vegetarian,South Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Low
Buckwheat pancake (Khura),263.3,27.28,2.91,16.43,0.64,0.56,69.97,11.32,0.69,0.66,3.38,263.3,27.28,2.91,16.43,0.64,0.56,69.97,11.32,0.69,0.66,3.38,Breakfast,Vegetarian,Pan Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Sugar; Low-Sodium; Low-Protein,1,0,1,1,0,0,1,0,0,1,Low
Wheat cake,314.63,41.13,4.79,14.95,25.79,2.76,82.96,98.91,1.08,0.76,7.6,314.63,41.13,4.79,14.95,25.79,2.76,82.96,98.91,1.08,0.76,7.6,Dessert,Vegetarian,Pan Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; High-Sugar; Low-Sodium,1,0,1,1,0,0,1,0,0,1,Medium
Mango cheesecake,152.46,20.06,2.39,7.3,15.36,1.14,107.12,55.1,0.53,24.93,68.68,152.46,20.06,2.39,7.3,15.36,1.14,107.12,55.1,0.53,24.93,68.68,Dessert,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Keto-Friendly; High-Sugar; Low-Sodium; Low-Protein,0,1,0,1,0,1,1,0,0,1,Low
Carrot cake (Gajar ka cake),255.59,35.98,5.6,10.27,23.96,2.93,158.74,156.1,1.03,3.12,17.06,255.59,35.98,5.6,10.27,23.96,2.93,158.74,156.1,1.03,3.12,17.06,Dessert,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; High-Sugar; Low-Sodium,1,1,1,1,0,0,0,0,0,1,Medium
Finger millet cake (Ragi cake),279.46,38.93,3.96,12.27,24.76,2.35,98.26,118.38,1.35,0.76,11.41,279.46,38.93,3.96,12.27,24.76,2.35,98.26,118.38,1.35,0.76,11.41,Dessert,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Sugar; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Medium
Almond cardamom cake (Badam elaichi cake),356.35,34.53,7.18,21.36,18.06,2.35,155.37,81.29,1.29,0.37,10.86,356.35,34.53,7.18,21.36,18.06,2.35,155.37,81.29,1.29,0.37,10.86,Dessert,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Contains-Nuts; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Sugar; Low-Sodium,1,1,1,0,0,0,1,0,0,1,Medium
Tutti frutti cake,347.72,52.94,4.49,12.68,28.08,0.85,106.36,61.41,0.62,1.9,76.45,347.72,52.94,4.49,12.68,28.08,0.85,106.36,61.41,0.62,1.9,76.45,Dessert,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Sugar; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Medium
Whey soup,68.91,6.26,3.45,3.34,5.87,0.84,87.08,164.92,0.55,2.55,33.72,68.91,6.26,3.45,3.34,5.87,0.84,87.08,164.92,0.55,2.55,33.72,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,1,1,1,0,1,1,0,1,Very Low
Bottle gourd soup (Ghiya/Lauki soup),23.05,1.16,0.45,1.79,0.39,0.96,53.81,15.14,0.26,6.0,52.73,23.05,1.16,0.45,1.79,0.39,0.96,53.81,15.14,0.26,6.0,52.73,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Baked potato soup,147.05,5.85,5.73,11.21,3.44,0.3,268.69,106.56,0.27,18.93,42.67,147.05,5.85,5.73,11.21,3.44,0.3,268.69,106.56,0.27,18.93,42.67,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; High-Carb; Low-Calorie,1,1,1,1,1,0,0,1,0,1,Very Low
Pumpkin soup,40.05,2.08,0.47,3.2,1.47,1.19,45.5,12.17,0.19,11.5,35.73,40.05,2.08,0.47,3.2,1.47,1.19,45.5,12.17,0.19,11.5,35.73,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Sweet corn soup,32.25,3.56,0.99,1.63,0.9,0.31,22.35,3.72,0.41,10.33,50.13,32.25,3.56,0.99,1.63,0.9,0.31,22.35,3.72,0.41,10.33,50.13,Dessert,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Garlic soup,194.86,6.99,2.38,17.62,2.39,1.66,179.26,60.55,0.73,11.12,21.85,194.86,6.99,2.38,17.62,2.39,1.66,179.26,60.55,0.73,11.12,21.85,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; Low-Sodium; Low-Protein,1,1,1,1,1,0,0,0,0,1,Very Low
Dal makhani,74.04,7.96,3.32,3.06,0.8,2.27,41.85,20.62,1.23,9.19,75.16,74.04,7.96,3.32,3.06,0.8,2.27,41.85,20.62,1.23,9.19,75.16,Main Course,Vegetarian,North Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium,1,1,1,1,1,0,1,1,0,1,Very Low
Panchmel dal,111.22,10.71,4.63,5.36,0.75,3.2,79.46,23.05,1.42,8.49,79.58,111.22,10.71,4.63,5.36,0.75,3.2,79.46,23.05,1.42,8.49,79.58,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium,1,1,1,1,1,0,1,1,0,1,Low
Dal dhokli,68.74,8.55,2.96,2.47,1.12,1.86,37.53,14.54,0.79,2.77,45.31,68.74,8.55,2.96,2.47,1.12,1.86,37.53,14.54,0.79,2.77,45.31,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Soya seekh kebab,115.05,10.0,5.4,5.88,0.51,2.24,92.25,15.67,1.26,8.56,14.38,115.05,10.0,5.4,5.88,0.51,2.24,92.25,15.67,1.26,8.56,14.38,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium,1,1,1,1,0,0,1,1,0,1,Very Low
White sauce (thin),115.17,6.58,3.31,8.41,4.58,0.07,23.91,110.2,0.19,5.4,24.77,115.17,6.58,3.31,8.41,4.58,0.07,23.91,110.2,0.19,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,1,1,0,0,1,1,0,1,Very Low
White sauce (medium),151.27,7.98,3.36,11.76,4.32,0.14,22.59,103.53,0.22,5.4,24.77,151.27,7.98,3.36,11.76,4.32,0.14,22.59,103.53,0.22,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Very Low
