dish_name,calories_(kcal),carbohydrates_(g),protein_(g),fats_(g),free_sugar_(g),fibre_(g),sodium_(mg),calcium_(mg),iron_(mg),vitamin_c_(mg),folate_(µg),calories_(kcal)_per_100g,carbohydrates_(g)_per_100g,protein_(g)_per_100g,fats_(g)_per_100g,free_sugar_(g)_per_100g,fibre_(g)_per_100g,sodium_(mg)_per_100g,calcium_(mg)_per_100g,iron_(mg)_per_100g,vitamin_c_(mg)_per_100g,folate_(µg)_per_100g,meal_category,veg_nonveg,region,dietary_restrictions,is_vegan,is_gluten_free,is_dairy_free,is_nut_free,is_diabetic_friendly,is_keto_friendly,is_jain_friendly,is_low_calorie,is_high_protein,is_low_sodium,carb_category
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.0,3.12,14.2,0.02,0.5,1.8,16.14,2.58,0.39,0.53,2.58,0.0,3.12,14.2,0.02,0.5,1.8,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Instant coffee,23.16,3.65,0.64,0.75,3.62,0.0,4.92,20.87,0.06,1.51,5.6,23.16,3.65,0.64,0.75,3.62,0.0,4.92,20.87,0.06,1.51,5.6,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.0,13.98,58.1,0.15,1.51,5.53,51.54,6.62,1.75,2.14,6.53,0.0,13.98,58.1,0.15,1.51,5.53,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Iced tea,10.34,2.7,0.03,0.01,2.7,0.0,0.23,1.18,0.02,5.95,1.28,10.34,2.7,0.03,0.01,2.7,0.0,0.23,1.18,0.02,5.95,1.28,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,2.63,5.07,0.1,41.44,24.57,36.12,9.38,0.14,0.03,9.25,0.06,2.63,5.07,0.1,41.44,24.57,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,2.26,3.3,0.06,15.08,9.13,23.13,5.99,0.07,0.02,5.88,0.17,2.26,3.3,0.06,15.08,9.13,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,28.52,1.84,0.05,5.27,2.11,20.8,5.48,0.03,0.01,5.47,0.02,28.52,1.84,0.05,5.27,2.11,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,28.13,2.2,0.09,5.68,2.92,21.52,5.55,0.08,0.03,5.38,0.13,28.13,2.2,0.09,5.68,2.92,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,189.6,10.84,0.32,3.61,3.14,9.09,1.86,0.17,0.11,1.46,0.46,189.6,10.84,0.32,3.61,3.14,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Coco pine cooler,32.75,5.72,0.56,1.0,5.52,0.26,23.2,17.81,0.13,10.67,12.64,32.75,5.72,0.56,1.0,5.52,0.26,23.2,17.81,0.13,10.67,12.64,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0.0,24.2,113.66,0.31,3.62,13.79,90.1,9.23,3.36,4.56,9.01,0.0,24.2,113.66,0.31,3.62,13.79,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,1,1,0,0,1,1,0,1,Very Low
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,13.84,53.29,0.12,2.53,9.49,67.85,11.24,1.57,2.11,11.18,0.01,13.84,53.29,0.12,2.53,9.49,Dessert,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Keto-Friendly; Low-Calorie; Low-Sodium; Low-Protein,0,1,0,1,0,1,1,1,0,1,Low
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83,65.31,9.15,1.84,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium; Low-Protein,0,1,0,1,0,0,1,1,0,1,Very Low
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,13.27,62.33,0.15,20.1,53.68,56.9,7.23,1.73,2.35,7.15,0.26,13.27,62.33,0.15,20.1,53.68,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium; Low-Protein,0,1,0,1,0,0,1,1,0,1,Very Low
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0.0,14.05,59.92,0.11,10.22,17.45,55.72,7.62,1.66,2.23,7.6,0.0,14.05,59.92,0.11,10.22,17.45,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium; Low-Protein,0,1,0,1,0,0,1,1,0,1,Very Low
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.0,14.63,67.42,0.11,10.82,16.85,57.42,7.11,1.86,2.52,7.08,0.0,14.63,67.42,0.11,10.82,16.85,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium; Low-Protein,0,1,0,1,0,0,1,1,0,1,Very Low
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91,97.14,8.15,4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.0,18.31,45.65,0.03,1.0,18.0,35.66,6.51,1.29,0.68,6.51,0.0,18.31,45.65,0.03,1.0,18.0,Dessert,Vegetarian,North Indian,Not-Diabetic-Friendly; Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sodium; Low-Protein,1,1,0,1,1,0,1,1,0,1,Very Low
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,65.4,47.78,0.04,1.02,18.07,18.84,1.86,1.35,0.72,1.84,0.02,65.4,47.78,0.04,1.02,18.07,Main Course,Vegetarian,North Indian,Gluten-Free; Contains-Dairy; Nut-Free; High-Sodium; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,0,1,0,0,1,1,0,1,Very Low
Cheese and chilli sandwich ,218.11,27.4,6.8,9.78,2.38,2.08,437.5,113.79,0.99,12.3,16.14,218.11,27.4,6.8,9.78,2.38,2.08,437.5,113.79,0.99,12.3,16.14,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Keto-Friendly,0,1,0,1,0,1,1,0,0,1,Low
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,461.67,110.13,1.44,0.0,14.92,285.96,29.16,8.69,15.8,1.86,1.88,461.67,110.13,1.44,0.0,14.92,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Sugar,0,1,1,1,0,0,1,0,0,1,Low
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8.0,1.64,2.45,362.64,87.84,1.02,1.53,12.96,188.6,25.77,4.8,8.0,1.64,2.45,362.64,87.84,1.02,1.53,12.96,Dessert,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar,1,1,0,1,1,0,1,0,0,1,Low
Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,389.67,89.56,1.19,0.0,11.1,253.27,25.38,13.12,11.75,1.6,1.64,389.67,89.56,1.19,0.0,11.1,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Sugar,0,1,1,1,0,0,1,0,0,1,Low
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,364.99,94.03,1.58,3.16,22.04,291.43,28.54,9.53,16.14,2.82,4.03,364.99,94.03,1.58,3.16,22.04,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Contains-Nuts; Low-Sodium-Friendly; Jain-Friendly; Vegan,1,1,1,0,0,0,1,0,0,1,Low
Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan,1,1,1,1,0,0,1,0,0,1,Low
Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,305.36,122.44,0.77,6.0,17.53,198.33,19.68,5.45,11.33,2.08,2.06,305.36,122.44,0.77,6.0,17.53,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan,1,1,1,1,0,0,1,0,0,1,Low
Pin wheel sandwich,311.52,14.0,8.77,24.93,1.45,0.93,374.39,67.75,1.36,0.0,9.04,311.52,14.0,8.77,24.93,1.45,0.93,374.39,67.75,1.36,0.0,9.04,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar,1,1,1,1,0,0,1,0,0,1,Low
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,5.3,3.66,302.88,118.05,1.8,2.7,21.7,214.11,29.04,5.3,9.12,5.3,3.66,302.88,118.05,1.8,2.7,21.7,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan,1,1,1,1,0,0,0,0,0,1,Low
Vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35,2.35,342.7,79.53,0.91,12.9,17.05,244.26,23.2,4.47,15.4,2.35,2.35,342.7,79.53,0.91,12.9,17.05,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan,1,1,1,1,0,0,1,0,0,1,Low
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51,2.09,1.77,423.26,95.71,1.3,1.98,16.33,222.11,25.9,7.66,10.51,2.09,1.77,423.26,95.71,1.3,1.98,16.33,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly,0,1,1,1,0,0,1,0,0,1,Low
Sweet open sandwich,244.25,39.24,4.99,8.15,12.23,2.36,205.27,85.18,1.15,1.65,13.05,244.25,39.24,4.99,8.15,12.23,2.36,205.27,85.18,1.15,1.65,13.05,Dessert,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb,1,1,1,1,1,0,1,0,0,1,Medium
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.11,2.28,456.57,172.35,0.84,0.0,12.7,227.42,21.01,7.79,13.01,2.11,2.28,456.57,172.35,0.84,0.0,12.7,Breakfast,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Keto-Friendly,0,1,0,1,0,1,1,0,0,1,Low
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,2.67,1.78,457.94,169.22,0.82,6.32,14.48,224.58,21.42,6.82,12.95,2.67,1.78,457.94,169.22,0.82,6.32,14.48,Breakfast,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Keto-Friendly,0,1,0,1,0,1,1,0,0,1,Low
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,25.17,4.6,5.43,1.33,2.89,262.63,64.15,1.11,14.11,21.01,164.9,25.17,4.6,5.43,1.33,2.89,262.63,64.15,1.11,14.11,21.01,Breakfast,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; High-Carb; Low-Sugar,1,1,1,1,0,0,0,0,0,1,Low
Chicken sandwich (toasted),167.37,18.82,12.08,5.32,2.13,1.64,327.55,99.99,0.99,12.97,20.71,167.37,18.82,12.08,5.32,2.13,1.64,327.55,99.99,0.99,12.97,20.71,Breakfast,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly,0,1,1,1,0,0,1,0,0,1,Low
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,1.94,2.45,290.07,70.79,1.51,5.5,18.29,171.78,20.26,11.06,5.61,1.94,2.45,290.07,70.79,1.51,5.5,18.29,Breakfast,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar,1,1,1,1,0,0,1,0,0,1,Low
Classic club sandwich,200.83,18.49,6.74,11.56,1.86,1.62,277.49,107.73,1.09,16.19,56.9,200.83,18.49,6.74,11.56,1.86,1.62,277.49,107.73,1.09,16.19,56.9,Main Course,Vegetarian,North Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar,1,1,0,1,0,0,1,0,0,1,Low
Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,5.12,0.62,15.89,75.88,0.32,5.03,17.58,81.57,8.87,2.64,4.08,5.12,0.62,15.89,75.88,0.32,5.03,17.58,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sodium; Low-Protein,1,0,1,1,1,0,1,1,0,1,Very Low
Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,7.54,0.7,23.21,108.52,0.36,5.03,22.71,100.89,12.39,3.75,4.08,7.54,0.7,23.21,108.52,0.36,5.03,22.71,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,1,1,1,0,1,1,0,1,Low
Oatmeal Porridge,72.85,8.77,2.6,3.22,5.2,0.39,16.14,76.83,0.28,5.03,23.98,72.85,8.77,2.6,3.22,5.2,0.39,16.14,76.83,0.28,5.03,23.98,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Cornflakes with milk,117.33,14.95,3.59,5.12,9.97,0.78,26.55,106.47,0.42,4.82,43.87,117.33,14.95,3.59,5.12,9.97,0.78,26.55,106.47,0.42,4.82,43.87,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium,0,1,0,1,0,0,1,1,0,1,Low
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41,112.44,15.57,3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41,Main Course,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sodium,1,1,1,1,1,0,1,1,0,1,Low
Wheat flakes,112.44,15.57,3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41,112.44,15.57,3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41,Main Course,Vegetarian,Pan Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sodium,1,0,1,1,0,0,1,1,0,1,Low
Murmura (Puffed rice),113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87,113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87,Main Course,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sodium,1,1,1,1,1,0,1,1,0,1,Low
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87,113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87,Main Course,Vegetarian,Pan Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sodium,1,0,1,1,0,0,1,1,0,1,Low
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0.0,0.11,170.94,17.75,0.64,0.0,24.77,45.35,0.12,4.43,3.04,0.0,0.11,170.94,17.75,0.64,0.0,24.77,Main Course,Non-Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sugar; Low-Sodium,0,1,1,1,1,0,1,1,0,1,Very Low
Fried Egg ,223.67,0.31,11.59,19.62,0.0,0.29,446.96,46.4,1.69,0.0,24.77,223.67,0.31,11.59,19.62,0.0,0.29,446.96,46.4,1.69,0.0,24.77,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Sugar,0,1,1,1,0,0,1,0,0,1,Very Low
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,1.08,0.24,374.66,64.59,1.42,0.3,25.82,155.97,1.35,10.29,12.21,1.08,0.24,374.66,64.59,1.42,0.3,25.82,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Sugar,0,1,1,1,0,0,1,0,0,1,Very Low
Plain omelette/omlet,272.41,0.64,9.66,25.74,0.51,0.12,226.18,48.4,1.35,0.3,50.48,272.41,0.64,9.66,25.74,0.51,0.12,226.18,48.4,1.35,0.3,50.48,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar,1,1,1,1,0,0,1,0,0,1,Very Low
Stuffed egg omelette/omlet,203.51,2.3,8.6,17.77,1.57,0.75,267.19,89.91,0.91,8.29,70.23,203.51,2.3,8.6,17.77,1.57,0.75,267.19,89.91,0.91,8.29,70.23,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Sugar,0,1,1,1,0,0,1,0,0,1,Very Low
Pancake,203.36,20.49,5.68,10.82,3.32,0.65,143.7,79.49,0.69,0.5,5.43,203.36,20.49,5.68,10.82,3.32,0.65,143.7,79.49,0.69,0.5,5.43,Breakfast,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Low
Keema pancake,176.27,9.56,9.01,11.25,2.2,0.84,125.4,40.96,0.93,4.64,12.23,176.27,9.56,9.01,11.25,2.2,0.84,125.4,40.96,0.93,4.64,12.23,Breakfast,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Very Low
Vegetable pancake,125.18,12.24,3.87,6.57,2.09,2.48,116.69,42.89,0.79,20.63,28.57,125.18,12.24,3.87,6.57,2.09,2.48,116.69,42.89,0.79,20.63,28.57,Breakfast,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,1,1,0,0,1,1,0,1,Low
Jam and fruit pancake,162.02,20.73,3.79,7.01,7.85,1.21,93.09,54.06,0.52,6.48,8.42,162.02,20.73,3.79,7.01,7.85,1.21,93.09,54.06,0.52,6.48,8.42,Breakfast,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Low
Khoa and coconut pancake,271.98,27.32,6.98,15.29,16.47,1.65,101.0,157.22,1.12,0.73,19.12,271.98,27.32,6.98,15.29,16.47,1.65,101.0,157.22,1.12,0.73,19.12,Breakfast,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Keto-Friendly; High-Sugar; Low-Sodium,1,1,1,1,0,1,1,0,0,1,Low
Brown stock,21.32,0.25,1.95,1.38,0.14,0.09,44.6,17.16,0.3,1.5,6.33,21.32,0.25,1.95,1.38,0.14,0.09,44.6,17.16,0.3,1.5,6.33,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Vegetable stock,17.6,0.96,0.3,1.38,0.44,0.38,49.75,5.08,0.12,7.58,13.92,17.6,0.96,0.3,1.38,0.44,0.38,49.75,5.08,0.12,7.58,13.92,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Chicken stock,29.88,0.37,3.69,1.51,0.2,0.1,58.58,3.57,0.18,0.84,10.19,29.88,0.37,3.69,1.51,0.2,0.1,58.58,3.57,0.18,0.84,10.19,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sugar; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
Hot and sour soup,31.51,1.78,3.12,1.31,0.66,0.6,163.26,10.68,0.43,24.59,39.83,31.51,1.78,3.12,1.31,0.66,0.6,163.26,10.68,0.43,24.59,39.83,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium,1,1,1,1,1,0,1,1,0,1,Very Low
Cold cucumber soup (Thanda kheere ka soup),48.03,4.58,2.99,1.99,3.34,0.88,121.32,99.79,0.32,5.05,27.42,48.03,4.58,2.99,1.99,3.34,0.88,121.32,99.79,0.32,5.05,27.42,Dessert,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,0,1,1,0,1,1,0,1,Very Low
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,23.92,3.7,10.22,1.15,4.18,127.2,17.38,1.52,7.98,14.96,205.04,23.92,3.7,10.22,1.15,4.18,127.2,17.38,1.52,7.98,14.96,Breakfast,Vegetarian,North Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; High-Carb; Low-Sugar; Low-Sodium,1,0,1,1,0,0,0,0,0,1,Low
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,20.54,3.3,9.53,1.31,4.32,127.03,23.75,1.39,8.44,20.74,183.52,20.54,3.3,9.53,1.31,4.32,127.03,23.75,1.39,8.44,20.74,Breakfast,Vegetarian,North Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; Low-Sugar; Low-Sodium,1,0,1,1,0,0,0,0,0,1,Low
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,1.15,4.68,190.03,22.0,1.59,17.61,26.32,178.07,18.84,3.73,9.47,1.15,4.68,190.03,22.0,1.59,17.61,26.32,Breakfast,Vegetarian,North Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium,1,0,1,1,0,0,1,0,0,1,Low
Sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,1.47,4.49,153.94,20.33,1.94,2.0,12.52,228.59,24.31,4.29,12.43,1.47,4.49,153.94,20.33,1.94,2.0,12.52,Breakfast,Vegetarian,North Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium,1,0,1,1,0,0,1,0,0,1,Low
